frame,time_s,X_m,Y_m,Z_m,distance_m,radius_px,cx_px,cy_px,source
199,6.6000,0.1888,0.5748,2.8998,2.9622,35.3245,700.6300,544.5959,yolo
200,6.6333,0.1310,0.6127,2.8077,2.8768,36.4828,683.4476,563.2125,yolo
201,6.6667,0.0728,0.6431,2.7056,2.7819,37.8595,665.0482,581.3479,yolo
202,6.7000,0.0243,0.6918,2.6307,2.7203,38.9369,648.6158,604.8722,yolo
203,6.7333,-0.0327,0.7227,2.5073,2.6096,40.8540,627.8430,628.4117,yolo
204,6.7667,-0.0796,0.7532,2.4001,2.5168,42.6779,609.1110,652.2452,yolo
205,6.8000,-0.1331,0.7782,2.3029,2.4345,44.4791,586.1797,674.6761,yolo
206,6.8333,-0.1764,0.7987,2.2209,2.3667,46.1221,566.0436,694.8720,yolo
207,6.8667,-0.2066,0.8208,2.1777,2.3364,47.0367,551.6483,710.9651,kalman
208,6.9000,-0.2357,0.8258,2.1362,2.3024,47.9512,537.2531,720.0000,kalman
209,6.9333,-0.2637,0.8104,2.0962,2.2628,48.8657,522.8578,720.0000,kalman
210,6.9667,-0.2907,0.7955,2.0577,2.2252,49.7803,508.4625,720.0000,kalman
211,7.0000,-0.3167,0.7811,2.0206,2.1893,50.6948,494.0672,720.0000,kalman
212,7.0333,-0.3417,0.7673,1.9848,2.1552,51.6094,479.6719,720.0000,kalman
213,7.0667,-0.3659,0.7539,1.9502,2.1227,52.5239,465.2766,720.0000,kalman
214,7.1000,-0.3893,0.7410,1.9168,2.0916,53.4384,450.8813,720.0000,kalman
215,7.1333,-0.4119,0.7286,1.8846,2.0621,54.3530,436.4861,720.0000,kalman
216,7.1667,-0.4337,0.7165,1.8534,2.0339,55.2675,422.0908,720.0000,kalman
217,7.2000,-0.4548,0.7049,1.8232,2.0069,56.1820,407.6955,720.0000,kalman
218,7.2333,-0.4753,0.6936,1.7940,1.9813,57.0966,393.3002,720.0000,kalman
219,7.2667,-0.4951,0.6826,1.7657,1.9568,58.0111,378.9049,720.0000,kalman
220,7.3000,-0.5143,0.6720,1.7383,1.9334,58.9257,364.5096,720.0000,kalman
221,7.3333,-0.5329,0.6618,1.7118,1.9110,59.8402,350.1143,720.0000,kalman
222,7.3667,-0.5509,0.6518,1.6860,1.8897,60.7547,335.7191,720.0000,kalman
223,7.4000,-0.5684,0.6421,1.6610,1.8693,61.6693,321.3238,720.0000,kalman
224,7.4333,-0.5854,0.6328,1.6367,1.8499,62.5838,306.9285,720.0000,kalman
225,7.4667,-0.6019,0.6236,1.6132,1.8313,63.4983,292.5332,720.0000,kalman
226,7.5000,,,,,,,,none
227,7.5333,,,,,,,,none
228,7.5667,,,,,,,,none
229,7.6000,,,,,,,,none
230,7.6333,,,,,,,,none
231,7.6667,,,,,,,,none
232,7.7000,,,,,,,,none
233,7.7333,,,,,,,,none
234,7.7667,,,,,,,,none
