frame,time_s,det_cx,det_cy,det_radius_px,det_confidence,det_source,kf_cx,kf_cy,kf_vx,kf_vy,kf_uncertainty
197,6.5333,717.97,516.21,34.09,0.870,yolo,725.68,509.03,-278.45,298.25,1.44
198,6.5667,703.52,534.21,35.05,0.873,yolo,711.03,525.32,-292.36,314.72,1.44
199,6.6000,687.68,552.86,35.86,0.833,yolo,695.61,542.92,-307.06,333.13,1.44
200,6.6333,670.23,573.72,37.27,0.889,yolo,679.07,562.23,-323.42,354.40,1.44
201,6.6667,652.65,591.88,38.90,0.921,yolo,661.77,581.48,-340.31,373.67,1.44
202,6.7000,632.96,618.16,39.51,0.806,yolo,643.15,604.03,-359.17,399.83,1.44
203,6.7333,613.10,641.69,42.52,0.875,yolo,623.64,627.50,-378.69,426.12,1.44
204,6.7667,591.87,665.65,44.12,0.891,yolo,603.04,651.68,-399.38,451.98,1.44
205,6.8000,571.46,682.48,45.81,0.855,yolo,582.11,673.30,-419.11,468.97,1.44
206,6.8333,552.58,694.29,47.16,0.518,yolo,561.66,691.17,-435.92,474.76,1.44
207,6.8667,,,,,none,547.13,706.99,-435.92,474.76,1.89
208,6.9000,,,,,none,532.60,720.00,-435.92,474.76,2.31
209,6.9333,,,,,none,518.06,720.00,-435.92,474.76,2.72
210,6.9667,,,,,none,503.53,720.00,-435.92,474.76,3.12
211,7.0000,,,,,none,489.00,720.00,-435.92,474.76,3.53
212,7.0333,,,,,none,474.47,720.00,-435.92,474.76,3.94
213,7.0667,,,,,none,459.94,720.00,-435.92,474.76,4.35
214,7.1000,,,,,none,445.41,720.00,-435.92,474.76,4.77
215,7.1333,,,,,none,430.88,720.00,-435.92,474.76,5.20
216,7.1667,,,,,none,416.35,720.00,-435.92,474.76,5.63
217,7.2000,,,,,none,401.82,720.00,-435.92,474.76,6.07
218,7.2333,,,,,none,387.29,720.00,-435.92,474.76,6.52
219,7.2667,,,,,none,372.76,720.00,-435.92,474.76,6.98
220,7.3000,,,,,none,358.23,720.00,-435.92,474.76,7.45
221,7.3333,,,,,none,343.70,720.00,-435.92,474.76,7.92
222,7.3667,,,,,none,329.16,720.00,-435.92,474.76,8.40
223,7.4000,,,,,none,314.63,720.00,-435.92,474.76,8.89
224,7.4333,,,,,none,300.10,720.00,-435.92,474.76,9.38
225,7.4667,,,,,none,285.57,720.00,-435.92,474.76,9.89
226,7.5000,,,,,none,271.04,720.00,0.00,0.00,10.40
227,7.5333,,,,,none,271.04,720.00,0.00,0.00,10.92
228,7.5667,,,,,none,271.04,720.00,0.00,0.00,11.45
229,7.6000,,,,,none,271.04,720.00,0.00,0.00,11.98
230,7.6333,,,,,none,271.04,720.00,0.00,0.00,12.52
231,7.6667,,,,,none,271.04,720.00,0.00,0.00,13.07
232,7.7000,,,,,none,271.04,720.00,0.00,0.00,13.63
233,7.7333,,,,,none,271.04,720.00,0.00,0.00,14.19
234,7.7667,,,,,none,271.04,720.00,0.00,0.00,14.76
235,7.8000,,,,,none,271.04,720.00,0.00,0.00,15.34
236,7.8333,,,,,none,271.04,720.00,0.00,0.00,15.93
237,7.8667,,,,,none,271.04,720.00,0.00,0.00,16.52
238,7.9000,,,,,none,271.04,720.00,0.00,0.00,17.12
239,7.9333,,,,,none,271.04,720.00,0.00,0.00,17.72
240,7.9667,,,,,none,271.04,720.00,0.00,0.00,18.34
241,8.0000,,,,,none,271.04,720.00,0.00,0.00,18.95
242,8.0333,,,,,none,271.04,720.00,0.00,0.00,19.58
243,8.0667,,,,,none,271.04,720.00,0.00,0.00,20.21
244,8.1000,,,,,none,271.04,720.00,0.00,0.00,20.85
245,8.1333,,,,,none,271.04,720.00,0.00,0.00,21.50
246,8.1667,,,,,none,271.04,720.00,0.00,0.00,22.15
247,8.2000,,,,,none,271.04,720.00,0.00,0.00,22.80
248,8.2333,,,,,none,271.04,720.00,0.00,0.00,23.47
249,8.2667,,,,,none,271.04,720.00,0.00,0.00,24.14
250,8.3000,,,,,none,271.04,720.00,0.00,0.00,24.81
251,8.3333,,,,,none,271.04,720.00,0.00,0.00,25.50
252,8.3667,,,,,none,271.04,720.00,0.00,0.00,26.18
253,8.4000,,,,,none,271.04,720.00,0.00,0.00,26.88
254,8.4333,,,,,none,271.04,720.00,0.00,0.00,27.58
255,8.4667,,,,,none,271.04,720.00,0.00,0.00,28.28
256,8.5000,,,,,none,271.04,720.00,0.00,0.00,29.00
257,8.5333,,,,,none,271.04,720.00,0.00,0.00,29.71
258,8.5667,,,,,none,271.04,720.00,0.00,0.00,30.44
259,8.6000,,,,,none,271.04,720.00,0.00,0.00,31.17
260,8.6333,,,,,none,271.04,720.00,0.00,0.00,31.90
261,8.6667,,,,,none,271.04,720.00,0.00,0.00,32.64
262,8.7000,,,,,none,271.04,720.00,0.00,0.00,33.39
263,8.7333,,,,,none,271.04,720.00,0.00,0.00,34.14
264,8.7667,,,,,none,271.04,720.00,0.00,0.00,34.90
265,8.8000,,,,,none,271.04,720.00,0.00,0.00,35.66
266,8.8333,,,,,none,271.04,720.00,0.00,0.00,36.43
267,8.8667,,,,,none,271.04,720.00,0.00,0.00,37.20
268,8.9000,,,,,none,271.04,720.00,0.00,0.00,37.98
269,8.9333,,,,,none,271.04,720.00,0.00,0.00,38.76
270,8.9667,,,,,none,271.04,720.00,0.00,0.00,39.55
271,9.0000,,,,,none,271.04,720.00,0.00,0.00,40.34
272,9.0333,,,,,none,271.04,720.00,0.00,0.00,41.14
273,9.0667,1141.00,143.00,38.00,1.000,hough,1138.54,144.63,493.44,-327.27,2.23
274,9.1000,,,,,none,1154.98,133.73,493.44,-327.27,2.53
275,9.1333,,,,,none,1171.43,122.82,493.44,-327.27,2.89
276,9.1667,,,,,none,1187.88,111.91,493.44,-327.27,3.28
277,9.2000,,,,,none,1204.33,101.00,493.44,-327.27,3.71
278,9.2333,,,,,none,1220.77,90.09,493.44,-327.27,4.16
279,9.2667,,,,,none,1237.22,79.18,493.44,-327.27,4.63
280,9.3000,,,,,none,1253.67,68.27,493.44,-327.27,5.12
281,9.3333,,,,,none,1270.12,57.36,493.44,-327.27,5.62
